ID;Nr receptury;Receptura;Objêtoœæ;DT pocz¹tek;DT przesypanie kr.;DT za³adunek;DT beton gotowy;DT zrzut;Czas cyklu WK;Czas oczekiwania WK;Czas cyklu skipu;Czas oczekiwania skipu;Czas za³adunku mieszarki;Czas mieszania zarobu;Czas cyklu mieszarki;Czas oczekiwania mieszarki;Czas cyklu ca³kowity;Czas oczekiwania ca³kowity;Zadane: Piasek;Zadane: ¯wir 2-8;Zadane: ¯wir 8-16;Zadane: --- kr.t4;Zadane: Cement;Zadane: Popió³;Zadane: --- ce.t3;Zadane: --- ce.t4;Zadane: Plast. PowerFlow;Zadane: Utw. Rapid-600;Zadane: --- ch.t3;Zadane: --- ch.t4;Zadane: Kruszywa ca³kowite;Zadane: Cementy ca³kowite;Zadane: Chemia ca³kowita;Zadane: Woda;Zadane: Wilgotnoœæ;Zwa¿one: Piasek;Zwa¿one: ¯wir 2-8;Zwa¿one: ¯wir 8-16;Zwa¿one: --- kr.t4;Zwa¿one: Cement;Zwa¿one: Popió³;Zwa¿one: --- ce.t3;Zwa¿one: --- ce.t4;Zwa¿one: Plast. PowerFlow;Zwa¿one: Utw. Rapid-600;Zwa¿one: --- ch.t3;Zwa¿one: --- ch.t4;Wsypane kruszywa ca³kowite;Wsypane cementy ca³kowite;Wlana chemia ca³kowita;Wlana woda;Koñcowa wilgotnoœæ;Koñcowy pr¹d mieszarki;
16296;1;FILIGRAN;0,8;19.08.2024 12:57:54;19.08.2024 12:59:42;19.08.2024 13:00:41;19.08.2024 13:02:16;19.08.2024 13:02:59;121;0;71;24;47;48;138;0;280;24;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;148;0;680;920;0;0;276;0;0;0;1,7;1,39;0;0;1587;279;3,19;148;0;16,1;
16297;1;FILIGRAN;0,9;19.08.2024 13:11:30;19.08.2024 13:13:22;19.08.2024 13:13:57;19.08.2024 13:15:34;19.08.2024 13:16:17;126;0;71;0;51;47;141;0;288;0;765;1035;0;0;315;0;0;0;1,89;1,57;0;0;1800;315;3,46;164;0;765;1036;0;0;312;0;0;0;1,88;1,55;0;0;1789;315;3,53;163;0;18,1;
16298;4;BALKONY;0,7;19.08.2024 13:22:00;19.08.2024 13:23:43;19.08.2024 13:24:17;19.08.2024 13:26:01;19.08.2024 13:26:44;117;0;71;0;47;57;147;0;285;0;595;805;0;0;245;0;0;0;1,47;1,22;0;0;1400;245;2,69;131;0;595;805;0;0;243;0;0;0;1,48;1,2;0;0;1391;244;2,75;142;0;13,1;
16299;4;BALKONY;0,6;19.08.2024 13:23:57;19.08.2024 13:25:36;19.08.2024 13:26:49;19.08.2024 13:28:25;19.08.2024 13:29:08;112;0;71;39;44;52;140;0;273;39;510;690;0;0;210;0;0;0;1,26;1,05;0;0;1200;210;2,31;112;0;510;690;0;0;208;0;0;0;1,26;1,05;0;0;1193;211;2,4;121;0;12,2;
16300;1;FILIGRAN;0,9;19.08.2024 13:36:29;19.08.2024 13:38:21;19.08.2024 13:38:55;19.08.2024 13:40:38;19.08.2024 13:41:21;126;0;71;0;50;52;146;0;293;0;765;1035;0;0;315;0;0;0;1,89;1,57;0;0;1800;315;3,46;164;0;766;1035;0;0;313;0;0;0;1,88;1,55;0;0;1792;315;3,53;164;0;17,1;
16301;1;FILIGRAN;0,9;19.08.2024 13:38:35;19.08.2024 13:40:27;19.08.2024 13:41:25;19.08.2024 13:43:03;19.08.2024 13:43:47;125;0;72;23;49;49;141;0;288;23;765;1035;0;0;315;0;0;0;1,89;1,57;0;0;1800;315;3,46;164;0;765;1035;0;0;312;0;0;0;1,89;1,59;0;0;1790;317;3,54;164;0;16,7;
16302;2;ŒCIANY;0,9;19.08.2024 13:48:54;19.08.2024 13:50:47;19.08.2024 13:51:21;19.08.2024 13:53:09;19.08.2024 13:53:53;125;0;71;0;52;57;152;0;298;0;765;1035;0;0;315;0;0;0;1,89;2,2;0;0;1800;315;4,09;162;0;765;1035;0;0;313;0;0;0;1,88;2,18;0;0;1790;315;4,15;161;0;17,4;
16303;2;ŒCIANY;0,8;19.08.2024 13:51:00;19.08.2024 13:52:48;19.08.2024 13:53:57;19.08.2024 13:55:38;19.08.2024 13:56:21;121;0;70;35;48;53;144;1;285;36;680;920;0;0;280;0;0;0;1,68;1,96;0;0;1600;280;3,64;144;0;680;921;0;0;274;0;0;0;1,68;1,97;0;0;1592;276;3,72;143;0;16,2;
16304;2;ŒCIANY;0,6;19.08.2024 14:57:09;19.08.2024 14:58:48;19.08.2024 14:59:21;19.08.2024 15:00:59;19.08.2024 15:01:42;112;0;71;0;46;51;140;0;273;0;510;690;0;0;210;0;0;0;1,26;1,47;0;0;1200;210;2,73;108;0;509;690;0;0;208;0;0;0;1,25;1,45;0;0;1189;210;2,81;108;0;13,6;
16305;1;FILIGRAN;0,8;19.08.2024 15:08:28;19.08.2024 15:10:16;19.08.2024 15:10:50;19.08.2024 15:12:31;19.08.2024 15:13:15;120;0;71;0;49;53;145;0;286;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;148;0;680;921;0;0;277;0;0;0;1,68;1,39;0;0;1592;280;3,17;147;0;14,7;
16306;1;FILIGRAN;0,8;19.08.2024 15:10:29;19.08.2024 15:12:17;19.08.2024 15:13:19;19.08.2024 15:14:56;19.08.2024 15:15:39;121;0;71;28;48;50;141;0;282;28;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;148;0;680;921;0;0;277;0;0;0;1,69;1,4;0;0;1591;279;3,19;149;0;15,1;
16307;1;FILIGRAN;0,5;19.08.2024 15:12:31;19.08.2024 15:14:31;19.08.2024 15:15:43;19.08.2024 15:17:10;19.08.2024 15:18:39;107;27;70;39;43;43;129;47;256;113;425;575;0;0;175;0;0;0;1,05;0,87;0;0;1000;175;1,92;93;0;424;575;0;0;172;0;0;0;1,02;0,87;0;0;993;184;1,97;97;0;12,8;
16308;1;FILIGRAN;0,8;19.08.2024 15:19:42;19.08.2024 15:21:30;19.08.2024 15:22:04;19.08.2024 15:23:48;19.08.2024 15:24:32;121;0;71;0;54;51;148;0;290;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;920;0;0;277;0;0;0;1,68;1,38;0;0;1592;272;3,17;150;0;14,7;
16309;1;FILIGRAN;0,8;19.08.2024 15:21:43;19.08.2024 15:23:31;19.08.2024 15:24:36;19.08.2024 15:26:12;19.08.2024 15:29:08;121;0;72;30;48;49;140;132;282;162;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;921;0;0;277;0;0;0;1,66;1,39;0;0;1589;286;3,13;150;0;14,7;
